model_id,source,input_spec,license,notes
3ddfa-v2,https://huggingface.co/litert-community/3DDFA-V2-LiteRT/resolve/main/tddfa_mb1_fp16.tflite,1x3x120x120:float32,mit,
6drepnet-headpose,https://huggingface.co/litert-community/6DRepNet-HeadPose-LiteRT/resolve/main/6drepnet.tflite,1x3x224x224:float32,mit,
basic-pitch,https://huggingface.co/litert-community/Basic-Pitch-LiteRT/resolve/main/basicpitch.tflite,1x43844:float32,apache-2.0,
bisenet-face-parsing,https://huggingface.co/litert-community/BiSeNet-Face-Parsing-LiteRT/resolve/main/faceparsing.tflite,1x3x512x512:float32,mit,
clipseg-rd64__clipseg_decoder,https://huggingface.co/litert-community/CLIPSeg-rd64-LiteRT/resolve/main/clipseg_decoder.tflite,1x485x768:float32;1x485x768:float32;1x485x768:float32;1x512:float32,apache-2.0,
clipseg-rd64__clipseg_text_fp16,https://huggingface.co/litert-community/CLIPSeg-rd64-LiteRT/resolve/main/clipseg_text_fp16.tflite,1x77x512:float32,apache-2.0,
clipseg-rd64__clipseg_vision_fp16,https://huggingface.co/litert-community/CLIPSeg-rd64-LiteRT/resolve/main/clipseg_vision_fp16.tflite,1x3x352x352:float32,apache-2.0,
cloth-segmentation-u2net,https://huggingface.co/litert-community/Cloth-Segmentation-U2Net-LiteRT/resolve/main/clothseg.tflite,1x3x768x768:float32,mit,
cmgan,https://huggingface.co/litert-community/CMGAN-LiteRT/resolve/main/cmgan_fp16.tflite,1x32400:float32,mit,
cpga-net-lowlight,https://huggingface.co/litert-community/CPGA-Net-LowLight-LiteRT/resolve/main/cpga_fp16.tflite,1x3x256x256:float32,mit,
crepe-pitch,https://huggingface.co/litert-community/CREPE-pitch-LiteRT/resolve/main/crepe_full_fp16.tflite,1x1024:float32,mit,
d-fine-s__dfine_grapha_fp16,https://huggingface.co/litert-community/D-FINE-S-LiteRT/resolve/main/dfine_graphA_fp16.tflite,1x3x640x640:float32,apache-2.0,
d-fine-s__dfine_graphb_fp16,https://huggingface.co/litert-community/D-FINE-S-LiteRT/resolve/main/dfine_graphB_fp16.tflite,1x8400x256:float32;1x300x256:float32;1x300x4:float32,apache-2.0,
dehazeformer-mct,https://huggingface.co/litert-community/DehazeFormer-MCT-LiteRT/resolve/main/dehazeformer_base.tflite,1x3x256x256:float32,mit,
